chemical_id,chemical_casrn,chemical_name,systemic_adjusted_negative_log_lel
DSSTox_GSID_26238,75-50-3,Trimethylamine,?
DSSTox_GSID_27320,824-78-2,Sodium 4-nitrophenolate,1.699
DSSTox_GSID_32345,56-95-1,Chlorhexidinediacetate,?
DSSTox_GSID_22325,2971-36-0,"2,2-Bis(4-hydroxyphenyl)-1,1,1-trichloroethane",?
DSSTox_GSID_32580,141517-21-7,Trifloxystrobin,2.514
DSSTox_GSID_37714,1987-50-4,4-Heptylphenol,?
DSSTox_GSID_27414,1563-38-8,"2,3-Dihydro-2,2-dimethyl-7-benzofuranol",?
DSSTox_GSID_24691,192337,"Butylglycidylether(n-Butylglycidylether)(Oxirane,(butoxymethyl)-)",?
DSSTox_GSID_32511,7779-27-3,"1,3,5-Triethylhexahydro-s-triazine(VancideTH)",?
DSSTox_GSID_21977,123-07-9,4-Ethylphenol,?
DSSTox_GSID_40360,163520-33-0,Isoxadifen-ethyl,?
DSSTox_GSID_21842,100-64-1,Cyclohexanoneoxime,?
DSSTox_GSID_32569,23103-98-2,Pirimicarb,3.875
DSSTox_GSID_32344,54593-83-8,Chlorethoxyfos,4.778
DSSTox_GSID_21166,51-03-6,Piperonyl butoxide,2.347
DSSTox_GSID_20160,82657-04-3,Bifenthrin,4.176
DSSTox_GSID_42011,97-78-9,"N-dodecanoyl-N-methylglycine;Glycine,N-methyl-N-(1-oxododecyl)-;N-Lauroylsarcosine",?
DSSTox_GSID_36435,2687-94-7,1-Octyl-2-pyrrolidone,?
DSSTox_GSID_32549,126833-17-8,Fenhexamid,2.076
DSSTox_GSID_20653,548-62-9,Gentian violet,4.477
DSSTox_GSID_47262,207736-05-8,"(6S)-6-[2-(4-aminophenyl)ethyl]-3-{[2-tert-butyl-4-(hydroxymethyl)-5-methylphenyl]sulfanyl}-4-hydroxy-6-(propan-2-yl)-5,6-dihydro-2H-pyran-2-one",?
DSSTox_GSID_20044,107-18-6,2-Propen-1-ol,?
DSSTox_GSID_24154,36734-19-7,Iprodione,2.738
DSSTox_GSID_44693,553-70-8,"Magnesiumdibenzoate(Benzoicacid,magnesiumsalt)",?
DSSTox_GSID_24913,124-18-5,Decane,?
DSSTox_GSID_22489,140-10-3,E-Cinnamicacid;trans-Cinnamicacid,?
DSSTox_GSID_24235,85509-19-9,Flusilazole,3.523
DSSTox_GSID_37551,101-42-8,Fenuron,?
DSSTox_GSID_24151,35554-44-0,Imazalil,3.903
DSSTox_GSID_47278,214535-77-0,2-(4-fluorophenoxy)-N-[4-(2-hydroxypropan-2-yl)benzyl]pyridine-3-carboxamide,?
DSSTox_GSID_47346,NOCAS_47346,SSR162369,3.477
DSSTox_GSID_44828,692-86-4,Ethylundec-10-enoate,?
DSSTox_GSID_32525,149877-41-8,Bifenazate,3.523
DSSTox_GSID_39336,28434-00-6,S-Bioallethrin,2.783
DSSTox_GSID_34192,10161-33-8,17beta-Trenbolone,?
DSSTox_GSID_34324,14816-18-3,Phoxim(alpha-(((Diethoxyphosphinothioyl)oxy)imino)benzeneacetonitrile),?
DSSTox_GSID_26261,13674-87-8,"Tris(1,3-dichloro-2-propyl)phosphate",2.222
DSSTox_GSID_20507,121-69-7,"N,N-Dimethylaniline",3.046
DSSTox_GSID_47385,NOCAS_47385,"1-{2-[(5-chloropyridin-2-yl)amino]-2-oxoethyl}-5-(2-methoxyethoxy)-N-[1-(propan-2-yl)piperidin-4-yl]-1H-pyrrolo[2,3-c]pyridine-2-carboxamide acetate",?
DSSTox_GSID_24157,33820-53-0,Isopropalin,?
DSSTox_GSID_27522,3147-75-9,"Octrizole(Phenol,2-(2H-benzotriazol-2-yl)-4-(1,1,3,3-tetramethylbutyl)-)",?
DSSTox_GSID_20336,637-07-0,Clofibrate,2.125
DSSTox_GSID_32559,91465-08-6,lambda-Cyhalothrin,?
DSSTox_GSID_20292,107-20-0,"Chloroacetaldehyde(CAA)(Acetaldehyde,chloro-)",?
DSSTox_GSID_21427,51-79-6,Urethane,?
DSSTox_GSID_32518,1192-52-5,"4,5-Dichloro-3H-1,2-dithiol-3-one(4,5-Dichloro-1,2-dithio-3-one)(4,5-Dichloro-1,2-dithiacyclopentenone)",?
DSSTox_GSID_34357,103055-07-8,"Lufenuron(Benzamide,N-[[[2,5-dichloro-4-(1,1,2,3,3,3-hexafluoropropoxy)phenyl]amino]carbonyl]-2,6-difluoro-)",?
DSSTox_GSID_20959,99-55-8,2-Methyl-5-nitroaniline,3.125
DSSTox_GSID_44833,80-27-3,"2-(4-Methylcyclohex-3-en-1-yl)propan-2-ylpropanoate(3-Cyclohexene-1-methanol,.alpha.,.alpha.,4-trimethyl-,propanoate)(Terpinylpropionate)",?
DSSTox_GSID_27061,135-19-3,2-Naphthalenol(2-Naphthol),?
DSSTox_GSID_41709,5850-86-2,"C.I.Acidorange8,monosodiumsalt",?
DSSTox_GSID_41530,139-88-8,"4-Undecanol,7-ethyl-2-methyl-,hydrogensulfate,sodiumsalt",?
DSSTox_GSID_32646,4151-50-2,Sulfluramid,3.959
DSSTox_GSID_44487,5137-55-3,"N-Methyl-N,N-dioctyloctan-1-aminiumchloride;1-Octanaminium,N-methyl-N,N-dioctyl-,chloride;Trioctylmethylammoniumchloride",?
DSSTox_GSID_21151,90-43-7,2-Phenylphenol,2.176
DSSTox_GSID_20068,117-79-3,2-Aminoanthraquinone,?
DSSTox_GSID_47517,68515-75-3,"Hexanedioicacid,di-C7-9-branchedandlinearalkylesters",?
DSSTox_GSID_27198,550-44-7,"1H-Isoindole-1,3(2H)-dione,2-methyl-",?
DSSTox_GSID_26706,104-66-5,"Benzene,1,1'-[1,2-ethanediylbis(oxy)]bis-",?
DSSTox_GSID_27072,139-02-6,"Sodiumphenolate(Phenol,sodiumsalt)(Sodiumphenate)",?
DSSTox_GSID_24266,29232-93-7,Pirimiphos-methyl,3.602
DSSTox_GSID_23902,56-55-3,Benz(a)anthracene,?
DSSTox_GSID_22448,51218-45-2,Metolachlor,2.176
DSSTox_GSID_20485,20325-40-0,"3,3-Dimethoxybenzidine dihydrochloride",?
DSSTox_GSID_26811,108-98-5,Benzenethiol(Thiophenol),?
DSSTox_GSID_21824,97-23-4,"Dichlorophen(2,2'-Methylene-bis(4-chlorophenol))",?
DSSTox_GSID_34972,89-83-8,Thymol,?
DSSTox_GSID_20372,53-19-0,"o,p'-DDD",?
DSSTox_GSID_21087,604-75-1,Oxazepam,?
DSSTox_GSID_27268,629-62-9,Pentadecane,?
DSSTox_GSID_24209,300-76-5,Naled,3.699
DSSTox_GSID_41691,35256-85-0,Butam,?
DSSTox_GSID_47307,501027-49-2,"3-{4-[2-(5-methyl-2-phenyl-1,3-oxazol-4-yl)ethoxy]-1H-indol-1-yl}propanoic acid",?
DSSTox_GSID_20430,95-50-1,"1,2-Dichlorobenzene",?
DSSTox_GSID_21277,110-44-1,Sorbic acid,?
DSSTox_GSID_44902,27253-33-4,"Calciumneodecanoate(Neodecanoicacid,calciumsalt)",?
DSSTox_GSID_20944,59-87-0,Nitrofurazone,?
DSSTox_GSID_24729,10605-21-7,Carbendazim,2.523
DSSTox_GSID_42187,109-46-6,"N,N'-Dibutylthiourea",?
DSSTox_GSID_21792,90-02-8,Salicylaldehyde(2-Hydroxy-benzaldehyde),?
DSSTox_GSID_20560,115-29-7,Endosulfan,4.921
DSSTox_GSID_21771,80-46-6,4-(2-Methylbutan-2-yl)phenol,2.176
DSSTox_GSID_23877,90-04-0,2-Methoxy-benzeneamine;o-Anisidine,?
DSSTox_GSID_20501,1095-90-5,"Methadonehydrochloride(6-Dimethylamino-4,4-diphenyl-3-heptanone.HCl)",?
DSSTox_GSID_47592,484-17-3,9-Phenanthrol,?
DSSTox_GSID_20843,112-63-0,"Methyllinoleate,native",?
DSSTox_GSID_24160,77501-63-4,Lactofen,3.678
DSSTox_GSID_41604,540-18-1,Pentylbutyrate(Amylbutyrate),?
DSSTox_GSID_38732,123-25-1,"Butanedioicacid,diethylester",?
DSSTox_GSID_20515,68-12-2,"N,N-Dimethylformamide",2.477
DSSTox_GSID_25864,156-43-4,"4-Ethoxyaniline(p-Phenetidine)(Benzenamine,4-ethoxy-)",?
DSSTox_GSID_48521,1191914-21-2,"(5S)-5-Butyl-9-{1-[(4,6-dimethylpyrimidin-5-yl)carbonyl]-4-methylpiperidin-4-yl}-3-(tetrahydro-2H-pyran-4-ylmethyl)-1-oxa-3,9-diazaspiro[5.5]undecan-2-one",?
DSSTox_GSID_24955,110-05-4,"t-BuOOH;Peroxide,bis(1,1-dimethylethyl);tert-butylperoxide;LuperoxDI",?
DSSTox_GSID_47033,17465-86-0,gamma-Cyclodextrin,?
DSSTox_GSID_25436,134-31-6,8-Hydroxyquinolinesulfate,?
DSSTox_GSID_28665,68515-48-0,"1,2-Benzenedicarboxylicacid,di-C8-10-branchedalkylesters,C9-rich;Di(C8-10,C9rich)branchedalkylphthalates",?
DSSTox_GSID_38864,88-24-4,"Phenol,2,2'-methylenebis(6-tert-butyl-4-ethyl-",?
DSSTox_GSID_23900,17804-35-2,Benomyl,2.409
DSSTox_GSID_24270,67747-09-5,Prochloraz,3.125
DSSTox_GSID_20179,110-97-4,"2-Propanol,1,1'-iminobis-",?
DSSTox_GSID_21031,156-10-5,p-Nitrosodiphenylamine,?
DSSTox_GSID_21519,112-34-5,2-(2-Butoxyethoxy)ethanol,?
DSSTox_GSID_48519,686756-87-6,"3-(2-Bromophenyl)-7-{[2-(hydroxymethyl)-2,3-dihydro-1,4-benzodioxin-6-yl]amino}-1-methyl-3,4-dihydropyrimido[4,5-d]pyrimidin-2(1H)-one",?
DSSTox_GSID_32316,88-04-0,"4-Chloro-3,5-dimethylphenol(4-Chloro-3,5-xylenol)(Chloroxylenol)",?
DSSTox_GSID_40361,6734-80-1,Metam-sodiumhydrate,?
DSSTox_GSID_21717,59-50-7,4-Chloro-3-methylphenol,?
DSSTox_GSID_42494,1067-25-0,n-Propyltrimethoxysilane,?
DSSTox_GSID_41440,2445-77-4,2-Methylbutylisovalerate,?
DSSTox_GSID_41954,106-68-3,Ethylpentylketone;Ethylamylketone,?
DSSTox_GSID_41653,4707-47-5,"Methyl2,4-dihydroxy-3,6-dimethylbenzoate",?
DSSTox_GSID_20207,88-85-7,Dinoseb,?
DSSTox_GSID_32359,121552-61-2,Cyprodinil,4.155
DSSTox_GSID_32688,26002-80-2,Phenothrin,?
DSSTox_GSID_20814,72-33-3,Mestranol,?
DSSTox_GSID_32690,173584-44-6,Indoxacarb,4.602
DSSTox_GSID_25796,111-84-2,Nonane,?
DSSTox_GSID_44443,56375-79-2,"N,N-Dibutyl-N-methylbutan-1-aminiumchloride(1-Butanaminium,N,N-dibutyl-N-methyl-,chloride)",?
DSSTox_GSID_20332,77-92-9,"Citricacid(1,2,3-Propanetricarboxylicacid,2-hydroxy-)",?
DSSTox_GSID_24289,129-00-0,Pyrene,?
DSSTox_GSID_22171,2016-57-1,1-Decanamine,?
DSSTox_GSID_20221,98-54-4,4-tert-Butylphenol,?
DSSTox_GSID_21460,17924-92-4,Zearalenone(mycotoxin),?
DSSTox_GSID_20197,22260-51-1,Bromocriptinemesylate,?
DSSTox_GSID_47542,117428-22-5,Picoxystrobin,?
DSSTox_GSID_34549,165252-70-0,Dinotefuran,?
DSSTox_GSID_20366,427-51-0,Cyproterone acetate,2.204
DSSTox_GSID_20402,95-80-7,"2,4-Diaminotoluene",?
DSSTox_GSID_24284,107-98-2,"Propyleneglycolmonomethylether,alpha;PGME",?
DSSTox_GSID_42062,2756-56-1,Isobornylpropanoate,?
DSSTox_GSID_20664,96-24-2,"3-Chloro-1,2-propanediol(Glycerolalpha-monochlorohydrin)(1,2-Propanediol,3-chloro-)",?
DSSTox_GSID_24234,27314-13-2,Norflurazon,2.727
DSSTox_GSID_44742,929-59-9,"2,2'-[Ethane-1,2-diylbis(oxy)]diethanamine(Ethanamine,2,2'-[1,2-ethanediylbis(oxy)]bis-)",?
DSSTox_GSID_41512,140-38-5,4-Chlorophenylurea,?
DSSTox_GSID_42436,4065-45-6,"2-Hydroxy-4-methoxybenzophenone-5-sulfonicacid;Benzenesulfonicacid,5-benzoyl-4-hydroxy-2-methoxy-;2-Hydroxy-4-methoxy-5-sulfobenzophenone;Benzophenone4",?
DSSTox_GSID_21947,112-70-9,1-Tridecanol,?
DSSTox_GSID_20154,120-32-1,Clorophene,2.824
DSSTox_GSID_21653,110-62-3,Pentanal(n-Pentanal)(Valeraldehyde),?
DSSTox_GSID_21781,84-74-2,Dibutyl phthalate,3.272
DSSTox_GSID_44430,451-40-1,"Ethanone,1,2-diphenyl-",?
DSSTox_GSID_47339,181640-09-5,"3-(1-{2-[(2R)-4-benzoyl-2-(3,4-difluorophenyl)morpholin-2-yl]ethyl}-4-phenylpiperidin-4-yl)-1,1-dimethylurea hydrochloride (1:1)",?
DSSTox_GSID_25816,144-62-7,Oxalicacid(Ethanedioicacid),?
DSSTox_GSID_23875,7773-06-0,Ammoniumsulfamate,?
DSSTox_GSID_40001,4376-18-5,Monomethylphthalate(MMP)(Methylhydrogenphthalate),?
DSSTox_GSID_22308,446-72-0,Genistein,?
DSSTox_GSID_41567,141-22-0,"9-Octadecenoicacid,12-hydroxy-,(9Z,12R)-(Ricinoleicacid)",?
DSSTox_GSID_21356,52225-20-4,dl-alpha-Tocopherylacetate,?
DSSTox_GSID_32004,13311-84-7,Flutamide,?
DSSTox_GSID_23235,69-65-8,D-Mannitol,?
DSSTox_GSID_48180,2696-84-6,4-Propylaniline,?
DSSTox_GSID_21125,77-09-8,Phenolphthalein,?
DSSTox_GSID_24586,95-16-9,Benzothiazole,?
DSSTox_GSID_21254,94-59-7,Safrole,?
DSSTox_GSID_25219,25155-30-0,"Dodecylbenzenesulfonicacid,sodiumsalt",?
DSSTox_GSID_47433,474-86-2,Equilin,?
DSSTox_GSID_22360,140-66-9,"4-(1,1,3,3-Tetramethylbutyl)phenol",3.284
DSSTox_GSID_24624,1675-54-3,"BisphenolAdiglycidylether(Oxirane,2,2'-[(1-methylethylidene)bis(4,1-phenyleneoxymethylene)]bis-)",?
DSSTox_GSID_47341,264618-44-2,"3-(1-{3-[(3S)-1-benzoyl-3-(3,4-dichlorophenyl)piperidin-3-yl]propyl}-4-phenylpiperidin-4-yl)-1,1-dimethylurea",?
DSSTox_GSID_44697,5877-42-9,"4-Ethyloct-1-yn-3-ol(1-Octyn-3-ol,4-ethyl-)",?
DSSTox_GSID_26342,60-12-8,2-Phenylethanol,?
DSSTox_GSID_21409,76-87-9,Triphenyltin hydroxide,4.699
DSSTox_GSID_20381,52918-63-5,Deltamethrin,?
DSSTox_GSID_42394,130-14-3,Sodium1-naphthalenesulfonate,?
DSSTox_GSID_36229,142-87-0,Sodiumdecylsulfate,?
DSSTox_GSID_21956,117-84-0,Dioctyl phthalate,?
DSSTox_GSID_34625,361377-29-9,Fluoxastrobin,3.201
DSSTox_GSID_47264,171866-31-2,CP-283097,3.255
DSSTox_GSID_26900,112-00-5,"1-Dodecanaminium,N,N,N-trimethyl-,chloride(Dodecyltrimethylammoniumchloride)",?
DSSTox_GSID_21311,732-26-3,"2,4,6-Tris(tert-butyl)phenol(Phenol,2,4,6-tris(1,1-dimethylethyl)-)(2,4,6-tri-tert-Butylphenol)",?
DSSTox_GSID_26224,112-49-2,Triethylene glycol dimethyl ether,?
DSSTox_GSID_40002,131-70-4,MonobutylPhthalate(MBP),?
DSSTox_GSID_22370,57-83-0,Progesterone(P),?
DSSTox_GSID_22439,81-90-3,Phenolphthalin,?
DSSTox_GSID_22377,57-91-0,17alpha-Estradiol,?
DSSTox_GSID_41721,8004-92-0,C.I.Acidyellow3;C.I.AcidYellow4,?
DSSTox_GSID_20293,532-27-4,2-Chloroacetophenone(CN)(Chloroacetophenone)(2-Chloro-1-phenyl-ethanone),?
DSSTox_GSID_32389,4602-84-0,Farnesol,?
DSSTox_GSID_27041,126-86-3,"2,4,7,9-Tetramethyl-5-decyne-4,7-diol",?
DSSTox_GSID_47353,NOCAS_47353,SSR241586,4.255
DSSTox_GSID_21240,127-47-9,Retinolacetate(all-trans-Retinylacetate),?
DSSTox_GSID_40151,39236-46-9,Imidazolidinylurea,?
DSSTox_GSID_41376,24602-86-6,"2,6-Dimethyl-4-tridecylmorpholine",?
DSSTox_GSID_48211,94-08-6,Ethyl4-methylbenzoate,?
DSSTox_GSID_21082,1936-15-8,C.I.Acidorange10(OrangeG),?
DSSTox_GSID_21126,92-84-2,Phenothiazine(10H-Phenothiazine),?
DSSTox_GSID_20827,72-43-5,"Methoxychlor(MXC)(1,1,1-trichloro-2,2-bis(p-methoxyphenyl)ethane)(p,p'-Methoxychlor)",?
DSSTox_GSID_26889,111-82-0,Methyldodecanoate(Methyllaurate),?
DSSTox_GSID_20570,6381-77-7,Sodium erythorbate (1:1),0.602
DSSTox_GSID_41265,2425-77-6,2-Hexyl-1-decanol,?
DSSTox_GSID_34287,104-67-6,5-Heptyldihydro-2(3H)-furanone(Undecanoicgamma-lactone),?
DSSTox_GSID_41514,21662-09-9,(4Z)-4-Decenal,?
DSSTox_GSID_27479,2440-22-4,"2-(2H-Benzotriazol-2-yl)-4-methylphenol(2-(2H-Benzotriazol-2-yl)-p-cresol)(Phenol,2-(2H-benzotriazol-2-yl)-4-methyl-)",?
DSSTox_GSID_27134,298-07-7,Bis(2-ethylhexyl)phosphate,?
DSSTox_GSID_24126,1024-57-3,Heptachlorepoxide,?
DSSTox_GSID_40713,1034-01-1,"Octylgallate(Benzoicacid,3,4,5-trihydroxy-,octylester)",?
DSSTox_GSID_26694,103-09-3,2-Ethylhexylacetate,?
DSSTox_GSID_41544,21145-77-7,"1-(3,5,5,6,8,8-Hexamethyl-5,6,7,8-tetrahydronaphthalen-2-yl)ethanone",?
DSSTox_GSID_29167,137-42-8,"Metam-sodium(Carbamodithioicacid,methyl-,monosodiumsalt)(Sodiummethyldithiocarbamate)",?
DSSTox_GSID_44203,112529-15-4,Pioglitazonehydrochloride,?
DSSTox_GSID_22455,131-11-3,Dimethyl phthalate,0.924
DSSTox_GSID_32637,123312-89-0,Pymetrozine,4
DSSTox_GSID_21872,106-49-0,4-Methylbenzeneamine;p-Toluidine,?
DSSTox_GSID_24888,6055-19-2,Cyclophosphamidemonohydrate,?
DSSTox_GSID_32113,107534-96-3,Tebuconazole,?
DSSTox_GSID_34227,119515-38-7,Icaridin,2
DSSTox_GSID_24902,533-74-4,Dazomet,3.824
DSSTox_GSID_26235,552-30-7,"5-Isobenzofurancarboxylicacid,1,3-dihydro-1,3-dioxo-;1,2,4-Benzenetricarboxylicanhydride",?
DSSTox_GSID_40731,605-45-8,Diisopropylphthalate,?
DSSTox_GSID_22679,58-85-5,D-Biotin;D-(+)-Biotin,?
DSSTox_GSID_20112,1912-24-9,Atrazine,4.222
DSSTox_GSID_32519,135158-54-2,Acibenzolar-S-methyl,4
DSSTox_GSID_31380,496-46-8,Glycoluril,?
DSSTox_GSID_40363,83657-24-3,Diniconazole,4.149
DSSTox_GSID_29221,1702-17-6,Clopyralid,2.602
DSSTox_GSID_26698,103-34-4,"Morpholine,4,4'-dithiobis-",?
DSSTox_GSID_26997,123-11-5,4-Methoxybenzaldehyde(4-Anisaldehyde)(p-Anisaldehyde),?
DSSTox_GSID_24049,35367-38-5,Diflubenzuron,?
DSSTox_GSID_24338,23564-05-8,Thiophanate-methyl,2.875
DSSTox_GSID_32648,22248-79-9,Tetrachlorvinphos;Gardona(cis-isomer),?
DSSTox_GSID_41409,587-65-5,2-Chloroacetanilide(2-Chloro-N-phenylacetamide),?
DSSTox_GSID_20499,127-19-5,"N,N-Dimethylacetamide(Dimethylacetamide)(Acetamide,N,N-dimethyl-)",?
DSSTox_GSID_32683,7786-34-7,Mevinphos,5.959
DSSTox_GSID_44901,2694-54-4,"Triprop-2-en-1-ylbenzene-1,2,4-tricarboxylate(1,2,4-Benzenetricarboxylicacid,tri-2-propenylester)",?
DSSTox_GSID_40776,654055-01-3,Morinhydrate,?
DSSTox_GSID_42209,4455-26-9,N-Methyldioctylamine,?
DSSTox_GSID_47296,112733-06-9,PharmaCode_167868,?
DSSTox_GSID_35180,584-79-2,Allethrin,3.632
DSSTox_GSID_24063,576-26-1,"2,6-Dimethylphenol",?
DSSTox_GSID_27050,128-04-1,Sodium dimethyldithiocarbamate,4.301
DSSTox_GSID_34300,135410-20-7,Acetamiprid,2.778
DSSTox_GSID_26727,106-24-1,"(2E)-3,7-dimethylocta-2,6-dien-1-ol(Geraniol)(trans-Geraniol)",?
DSSTox_GSID_26564,94-28-0,"Triethyleneglycolbis(2-ethylhexanoate)(Hexanoicacid,2-ethyl-,1,2-ethanediylbis(oxy-2,1-ethanediyl)ester)",?
DSSTox_GSID_47369,221671-62-1,"(2-{[4-(4-chloro-2,5-dimethoxyphenyl)-5-(2-cyclohexylethyl)-1,3-thiazol-2-yl]carbamoyl}-5,7-dimethyl-1H-indol-1-yl)acetic acid trifluoroacetate",?
DSSTox_GSID_20392,131-17-9,Diallyl phthalate,2.778
DSSTox_GSID_20224,96-48-0,4-Butyrolactone,3.477
DSSTox_GSID_20887,91-62-3,6-Methylquinoline,2.125
DSSTox_GSID_47252,186392-65-4,CP-368296,2.477
DSSTox_GSID_21808,95-48-7,o-Cresol,2.002
DSSTox_GSID_25403,6789-88-4,Hexylbenzoate,?
DSSTox_GSID_44663,3734-67-6,"C.I.18050;2,7-Naphthalenedisulfonicacid,5-(acetylamino)-4-hydroxy-3-(phenylazo)-,disodiumsalt",?
DSSTox_GSID_47335,851916-42-2,MK-812,3
DSSTox_GSID_35175,525-79-1,"Kinetin(Cytokinin)(1H-Purin-6-amine,N-(2-furanylmethyl)-)",?
DSSTox_GSID_29154,120-92-3,Cyclopentanone,?
DSSTox_GSID_27131,288-88-0,"4H-[1,2,4]Triazole",?
DSSTox_GSID_26665,100-54-9,3-Pyridinecarbonitrile,?
DSSTox_GSID_37185,19774-82-4,Amiodaronehydrochloride,?
DSSTox_GSID_21916,110-43-0,2-Heptanone,?
DSSTox_GSID_47263,349495-42-7,"1-ethyl-5-(4-hydroxyphenyl)-3-methyl-6,7-dihydropyrazolo[4,3-e][1,4]diazepin-8(1H)-one",?
DSSTox_GSID_24657,627-18-9,3-Bromo-1-propanol,?
DSSTox_GSID_32554,87546-18-7,Flumiclorac-pentyl,2.979
DSSTox_GSID_26792,108-44-1,"Benzenamine,3-methyl-;m-Toluidine",?
DSSTox_GSID_20508,75-60-5,Dimethylarsinic acid,3.66
DSSTox_GSID_20091,142-04-1,Anilinehydrochloride,?
DSSTox_GSID_29565,85507-79-5,"Phthalicacid,diundecylester,branchedandlinear(1,2-Benzenedicarboxylicacid,diundecylester,branchedandlinear)",?
DSSTox_GSID_20242,191906,Captafol,3.076
DSSTox_GSID_22408,143-74-8,Phenolred,?
DSSTox_GSID_32329,741-58-2,Bensulide,3.824
DSSTox_GSID_34383,125401-92-5,"Bispyribac-sodium(Benzoicacid,2,6-bis[(4,6-dimethoxy-2-pyrimidinyl)oxy]-,sodiumsalt)",?
DSSTox_GSID_26726,106-22-9,"beta-Citronellol;6-Octen-1-ol,3,7-dimethyl-;3,7-Dimethyloct-6-en-1-ol",?
DSSTox_GSID_27528,3268-49-3,3-(Methylthio)propanal,?
DSSTox_GSID_41252,128-95-0,"1,4-Diaminoanthraquinone",?
DSSTox_GSID_27887,26040-51-7,"Bis(2-ethylhexyl)3,4,5,6-tetrabromophthalate(1,2-Benzenedicarboxylicacid,3,4,5,6-tetrabromo-,bis(2-ethylhexyl)ester)",?
DSSTox_GSID_32493,55219-65-3,Triadimenol,3.301
DSSTox_GSID_25659,119-36-8,Methyl salicylate,1.301
DSSTox_GSID_24922,124-09-4,"1,6-Hexanediamine(Hexamethylenediamine)(1,6-Diaminohexane)",?
DSSTox_GSID_47337,1061517-62-1,sodium3-(4-{[1-(3-ethoxyphenyl)-2-(4-methylphenyl)-1H-imidazol-4-yl]carbonyl}piperazin-1-yl)naphthalene-1-carboxylate,?
DSSTox_GSID_22123,818-61-1,"2-Hydroxyethylacrylate(2-propenoicacid,2-hydroxyethylester)",?
DSSTox_GSID_24621,111-96-6,Bis(2-methoxyethyl) ether,?
DSSTox_GSID_29616,288-32-4,Imidazole(1H-Imidazole),?
DSSTox_GSID_24337,28249-77-6,Thiobencarb,3.699
DSSTox_GSID_25599,6317-18-6,Methylene bis(thiocyanate),4
DSSTox_GSID_48190,127-25-3,Methylabietate,?
DSSTox_GSID_47379,NOCAS_47379,SSR126768,3
DSSTox_GSID_40742,124-94-7,Triamcinolone,?
DSSTox_GSID_25018,101-83-7,Dicyclohexylamine,?
DSSTox_GSID_29661,3452-97-9,"3,5,5-Trimethyl-1-hexanol",?
DSSTox_GSID_47633,111-62-6,Ethyloleate,?
DSSTox_GSID_35160,127-41-3,"(3E)-4-(2,6,6-trimethylcyclohex-2-en-1-yl)but-3-en-2-one",?
DSSTox_GSID_20043,97-59-6,Allantoin,?
DSSTox_GSID_22817,1260-17-9,Carminic acid,0.171
DSSTox_GSID_47280,289716-94-5,"1-[2-(3,4-dichlorophenoxy)-5-fluorophenyl]-N-methylmethanamine",?
DSSTox_GSID_26228,78-40-0,Triethylphosphate,?
DSSTox_GSID_44904,28631-66-5,"Benzenesulfonicacid,aminomethyl[[4-[(sulfophenyl)amino]phenyl][4-[(sulfophenyl)imino]-2,5-cyclohexadien-1-ylidene]methyl]-,disodiumsalt)",?
DSSTox_GSID_34223,119168-77-3,Tebufenpyrad,4.201
DSSTox_GSID_20618,102676-31-3,Fadrozolehydrochloride,?
DSSTox_GSID_24195,94-74-6,2-Methyl-4-chlorophenoxyacetic acid,3.699
DSSTox_GSID_47537,2432-87-3,SEBACICACIDDI-N-OCTYLESTER,?
DSSTox_GSID_42276,94-71-3,2-Ethoxyphenol,?
DSSTox_GSID_37494,6190-65-4,Deethylatrazine(Atrazinedeethyl)(2-Amino-4-chloro-6-isopropylamino-s-atrazine),?
DSSTox_GSID_21094,101-80-4,"4,4-Oxydianiline",?
DSSTox_GSID_31863,375-95-1,Perfluorononanoicacid(PFNA),?
DSSTox_GSID_47180,36631-30-8,Triisodecyltrimellitate,?
DSSTox_GSID_20656,77-06-5,Gibberellicacid(Gibberellin)(GA),?
DSSTox_GSID_32354,105512-06-9,Clodinafop-propargyl,4.018
DSSTox_GSID_34961,111988-49-9,Thiacloprid,3.721
DSSTox_GSID_27360,1111-78-0,"Carbamicacid,monoammoniumsalt",?
DSSTox_GSID_23890,3337-71-1,Asulam,1.955
DSSTox_GSID_34252,149979-41-9,Tepraloxydim,2.658
DSSTox_GSID_48513,825643-57-0,"2-[3,5-Bis(trifluoromethyl)phenyl]-N-{4-(4-fluoro-2-methylphenyl)-6-[(2R,3R)-3-hydroxy-2-(hydroxymethyl)pyrrolidin-1-yl]pyridin-3-yl}-N,2-dimethylpropanamide",?
DSSTox_GSID_43915,630-56-8,Hydroxyprogesteronecaproate(17alpha-Hydroxyprogesteronehexanoate),?
DSSTox_GSID_20620,55-38-9,Fenthion,4.155
DSSTox_GSID_21100,56-38-2,Parathion,4
DSSTox_GSID_47313,263553-33-9,GW473178E methyl benzene sulphonic acid,2.921
DSSTox_GSID_21828,98-86-2,"ethanone,1-phenyl-",?
DSSTox_GSID_24018,1918-00-9,Dicamba,2.398
DSSTox_GSID_21455,1934-21-0,FD&C Yellow 5,1.842
DSSTox_GSID_21957,118-55-8,Phenylsalicylate,?
DSSTox_GSID_29649,1477-55-0,"1,3-Benzenedimethanamine(m-Xylylenediamine)",?
DSSTox_GSID_23216,1823692,"3,5,3'-Triiodothyronine(T3)(Triiodothyronine)(Liothyronine)(3,3',5-Triiodo-L-thyronine)",?
